,X,Y,ilmenite,magnetite,hematite,pyroxene,feldspar,apatite,graphite
41,6.19477,0.0,0.0,0.0,0.0,44.88545203180309,69.38731696429501,44.88545203180309,55.05687433322306
42,6.19477,1.5599100000000004,28.082952041984925,0.0,36.88648145281991,34.20848755663275,42.31373665943339,30.956863096633896,38.44748207846796
43,6.19477,3.11981,38.607007265430994,48.64934694191413,0.0,36.1678406859143,46.67623044035081,21.899328453675253,33.99081211531923
44,6.19477,4.6797200000000005,38.87310101792839,35.02575948116366,47.99390354091042,41.47097904398308,48.53630334222508,33.23794513486314,46.27379532876034
45,6.19477,6.23962,0.0,0.0,47.47983045912896,45.7756713857605,41.47706853574843,34.7185597674884,46.42296564980842
46,6.19477,7.799523000000001,33.9682870520454,52.21805093909738,125.5705406259464,48.97176631246987,47.71936112060013,30.2157999124574,48.38371855065674
47,6.19477,9.35943,34.19874158398964,34.54466560151194,206.17946189629583,35.89448459449227,39.95606730198711,22.25393373362523,27.925490931837288
48,6.19477,10.91933,38.10188590447624,30.61966194791188,117.34091105519433,42.01025191988643,44.83550521998902,42.01025191988643,51.38807044263885
49,6.19477,12.47923,0.0,0.0,68.00989511997125,62.22014096410169,99.10250172629016,50.3230520954092,72.21437791342049
50,6.19477,14.03914,0.0,0.0,58.99302267779868,52.42533566507626,85.8589035731919,43.17094401234124,52.27898761873115
51,7.743465,0.0,0.0,0.0,0.0,47.56814416245709,83.68486661329332,41.63282742937781,47.526784306624194
52,7.743465,1.5599100000000004,0.0,0.0,0.0,39.91176648075424,78.87904954308547,31.875301579752247,44.57691036232333
53,7.743465,3.11981,38.39736163744095,32.444823259805844,46.866634627823416,37.72393926339521,42.98287577471498,25.699106048165305,39.269648803930295
54,7.743465,4.6797200000000005,42.48585589811023,46.62827109899736,0.0,45.42983215464831,43.74159350999322,28.26573447376262,45.28117470563262
55,7.743465,6.23962,0.0,0.0,0.0,42.83847374254215,39.44857566253833,36.25840364853512,56.6227556443653
56,7.743465,7.799523000000001,17.095258795434873,21.1399576275807,73.9567188014331,24.934181208181187,20.16563819553056,17.42286214876532,24.18479313411269
57,7.743465,9.35943,32.60627819325869,28.762461244174418,174.68598736370635,33.48155663188819,28.30824138701813,15.597103649788885,22.721613888199144
58,7.743465,10.91933,33.9006535287985,38.01764844000903,138.67581295164484,31.407726384200146,23.0536727495542,17.155987244847033,23.918551230018764
59,7.743465,12.47923,33.01069501702894,35.15922623346546,0.0,35.994086165823134,41.85335966760228,24.06986849707984,48.681013703187546
60,7.743465,14.03914,0.0,0.0,50.84820344130941,60.44326231998917,88.547425026231,40.63690411446567,50.06910856190822
61,9.29216,0.0,0.0,0.0,0.0,46.32853093440656,81.74298918832545,30.887202641430747,51.31008446705954
62,9.29216,1.5599100000000004,0.0,0.0,0.0,49.09217235190012,80.97064774039427,25.848436066080826,43.398647781483305
63,9.29216,3.11981,0.0,0.0,0.0,39.84057978254444,62.05587601625767,37.7853422963982,49.88706243057625
64,9.29216,4.6797200000000005,0.0,0.0,0.0,44.88956226353257,44.17089104889966,34.15376420276691,45.95182827631511
65,9.29216,6.23962,0.0,0.0,0.0,55.04574398625231,40.0298222379234,45.916890649816935,50.8220261673313
66,9.29216,7.799523000000001,36.764337372576776,32.6876346183633,37.56968101423429,20.981474577235137,22.561187953450805,19.49026763115341,26.930789323523346
67,9.29216,9.35943,33.44106635757175,41.55653545245993,69.03407351319537,34.89508877767177,27.05550313943823,19.92386440555252,32.57360860149464
68,9.29216,10.91933,36.99607840035862,37.12799005662213,53.183850701937246,36.4042586365005,26.38940924135531,19.34641419133108,32.0624415268655
69,9.29216,12.47923,0.0,0.0,31.394354777152884,30.341828576725952,26.00789784141211,22.45418961689868,28.274387773668884
70,9.29216,14.03914,0.0,0.0,0.0,40.50523266633635,27.942063055255534,27.3235583669032,40.12801001323815
71,10.84085,0.0,0.0,0.0,42.66450347955029,50.44828481982682,69.63890913400076,35.1892158424634,39.256273560045855
72,10.84085,1.5599100000000004,0.0,0.0,45.37830451722914,43.16860824841862,67.81724765688408,38.692839285885015,40.44216239389729
73,10.84085,3.11981,20.07458726914352,32.11498562435233,0.0,44.90113526310587,50.81596891625486,42.58711723121488,53.1223608866197
74,10.84085,4.6797200000000005,0.0,0.0,48.32018419765177,43.19303292492872,33.45044096932371,25.72747583362697,45.14239623708608
75,10.84085,6.23962,29.239255513110976,0.0,0.0,35.261283981950925,29.640175856993203,29.15954107808776,42.84876142477973
76,10.84085,7.799523000000001,20.19047305197089,20.180618110057765,22.642249646021533,17.8142037268626,20.019583613378444,12.21076492703422,19.04547571407847
77,10.84085,9.35943,0.0,35.999895522572515,38.55605911061845,34.34828633824351,29.1158126810155,26.381690045504044,35.04698249073053
78,10.84085,10.91933,36.08552148513366,32.068297911123814,31.659620382870933,28.950170474970548,29.97708668810963,22.602480663346533,35.36323297600006
79,10.84085,12.47923,39.34476192741047,33.30088580216262,28.735314173742367,29.65472910166138,28.645589365558315,16.241157693659076,28.46403672441409
80,10.84085,14.03914,35.29012328059945,35.24699682696642,22.1493207459172,21.53018391903136,26.500318585976224,17.727693170097403,22.994933235117315
81,12.38954,0.0,0.0,0.0,61.93459313280198,56.08073931593603,77.98765335319186,44.137250169007615,48.870276147194886
