R	S_avg	S_std	S_avg_smooth	S_sum
3.860950000000000273e+02	9.500000000000000000e+01	3.730504880933231959e+01	9.511583710407290937e+01	5.700000000000000000e+02
3.891290000000000191e+02	9.066666666666667140e+01	3.639902318591652630e+01	9.325912518853745325e+01	5.440000000000000000e+02
3.921619999999999777e+02	9.366666666666667140e+01	3.329497793294891750e+01	9.256168929110157251e+01	5.620000000000000000e+02
3.951960000000000264e+02	9.000000000000000000e+01	4.207929023482533637e+01	9.335052790346959739e+01	5.400000000000000000e+02
3.982280000000000086e+02	9.100000000000000000e+01	3.586548944784293980e+01	9.679909502262496801e+01	5.460000000000000000e+02
4.012579999999999814e+02	9.800000000000000000e+01	3.671511950137163893e+01	1.013574660633489515e+02	5.880000000000000000e+02
4.042869999999999777e+02	9.700000000000000000e+01	3.411255878216505977e+01	1.054983408748120297e+02	5.820000000000000000e+02
4.073149999999999977e+02	1.110000000000000000e+02	3.467467856135559146e+01	1.091930618401212456e+02	6.660000000000000000e+02
4.103419999999999845e+02	1.186666666666666714e+02	3.717824931626315532e+01	1.118895927601815856e+02	7.120000000000000000e+02
4.133690000000000282e+02	1.266666666666666714e+02	3.430581421404961873e+01	1.128865761689297074e+02	7.600000000000000000e+02
4.163940000000000055e+02	1.233333333333333286e+02	3.957552554574887438e+01	1.129457013574666746e+02	7.400000000000000000e+02
4.194180000000000064e+02	1.090000000000000000e+02	3.488552708502481892e+01	1.112386123680247181e+02	6.540000000000000000e+02
4.224409999999999741e+02	9.966666666666667140e+01	3.875421124070116718e+01	1.085158371040729719e+02	5.980000000000000000e+02
4.254639999999999986e+02	9.966666666666667140e+01	4.371752763162874089e+01	1.047903469079945182e+02	5.980000000000000000e+02
4.284850000000000136e+02	9.666666666666667140e+01	3.844765561412323507e+01	9.979879336349978303e+01	5.800000000000000000e+02
4.315049999999999955e+02	9.400000000000000000e+01	4.730045806684469767e+01	9.538853695324334581e+01	5.640000000000000000e+02
4.345219999999999914e+02	9.400000000000000000e+01	4.158525379666851762e+01	9.193544494721014360e+01	5.640000000000000000e+02
4.375409999999999968e+02	9.300000000000000000e+01	4.453837296833671644e+01	9.058461538461588702e+01	5.580000000000000000e+02
4.405579999999999927e+02	9.266666666666667140e+01	4.746460669687350276e+01	9.040965309200652200e+01	5.560000000000000000e+02
4.435740000000000123e+02	8.666666666666667140e+01	4.394946593026535453e+01	8.948748114630515715e+01	5.200000000000000000e+02
4.465869999999999891e+02	8.800000000000000000e+01	4.396968652757639973e+01	8.833846153846201332e+01	5.280000000000000000e+02
4.496019999999999754e+02	8.666666666666667140e+01	4.411600868417520616e+01	8.753996983408794108e+01	5.200000000000000000e+02
4.526129999999999995e+02	8.766666666666667140e+01	4.345751437387504268e+01	8.698763197586772833e+01	5.260000000000000000e+02
4.556250000000000000e+02	8.833333333333332860e+01	4.379370832538492664e+01	8.607933634992504324e+01	5.300000000000000000e+02
4.586349999999999909e+02	8.533333333333332860e+01	4.153178167246005614e+01	8.551734539969879734e+01	5.120000000000000000e+02
4.616449999999999818e+02	8.333333333333332860e+01	3.778300617414600993e+01	8.543710407239863969e+01	5.000000000000000000e+02
4.646519999999999868e+02	8.700000000000000000e+01	3.977855368579070472e+01	8.604524886877874224e+01	5.220000000000000000e+02
4.676610000000000014e+02	8.566666666666667140e+01	4.324221188710041730e+01	8.592760180995520614e+01	5.140000000000000000e+02
4.706659999999999968e+02	8.600000000000000000e+01	3.981624459103763058e+01	8.621025641025687491e+01	5.160000000000000000e+02
4.736700000000000159e+02	8.400000000000000000e+01	4.448220618029940709e+01	8.608989441930664555e+01	5.040000000000000000e+02
4.766759999999999877e+02	8.800000000000000000e+01	4.069397989875160704e+01	8.666576168929157120e+01	5.280000000000000000e+02
4.796779999999999973e+02	8.933333333333332860e+01	3.825644462774285870e+01	8.680392156862791353e+01	5.360000000000000000e+02
